769 pairs total, 769 to do, 6 workers
[234/769] i=228 rc=0 1.4s {"i": 228, "pair": "systemd__261.1__261.2", "libs": 1, "err": false}
[235/769] i=234 rc=0 0.5s {"i": 234, "pair": "cdebconf__0.279+hurd.1__0.280", "libs": 0, "err": true}
[236/769] i=235 rc=0 0.5s {"i": 235, "pair": "cdebconf__0.280__0.281", "libs": 1, "err": false}
[237/769] i=237 rc=0 0.6s {"i": 237, "pair": "cdebconf__0.282__0.283", "libs": 1, "err": false}
[238/769] i=238 rc=0 0.6s {"i": 238, "pair": "libtasn1-6__4.12__4.13", "libs": 1, "err": false}
[239/769] i=236 rc=0 0.6s {"i": 236, "pair": "cdebconf__0.281__0.282", "libs": 1, "err": false}
[240/769] i=239 rc=0 0.6s {"i": 239, "pair": "libtasn1-6__4.13__4.14", "libs": 1, "err": false}
[241/769] i=240 rc=0 0.6s {"i": 240, "pair": "libtasn1-6__4.14__4.15.0", "libs": 1, "err": false}
[242/769] i=241 rc=0 0.6s {"i": 241, "pair": "libtasn1-6__4.15.0__4.16.0", "libs": 1, "err": false}
[243/769] i=242 rc=0 0.6s {"i": 242, "pair": "libtasn1-6__4.16.0__4.17.0", "libs": 1, "err": false}
[244/769] i=243 rc=0 0.6s {"i": 243, "pair": "libtasn1-6__4.17.0__4.18.0", "libs": 1, "err": false}
[245/769] i=244 rc=0 0.6s {"i": 244, "pair": "libtasn1-6__4.18.0__4.19.0", "libs": 1, "err": false}
[246/769] i=245 rc=0 0.6s {"i": 245, "pair": "libtasn1-6__4.19.0__4.20.0", "libs": 1, "err": false}
[247/769] i=246 rc=0 0.6s {"i": 246, "pair": "libtasn1-6__4.20.0__4.21.0", "libs": 1, "err": false}
[248/769] i=247 rc=0 0.6s {"i": 247, "pair": "libmnl__1.0.3__1.0.4", "libs": 1, "err": false}
[249/769] i=248 rc=0 0.6s {"i": 248, "pair": "libmnl__1.0.4__1.0.5", "libs": 1, "err": false}
[250/769] i=249 rc=0 0.7s {"i": 249, "pair": "cyrus-sasl2__2.1.27+dfsg__2.1.27+dfsg2", "libs": 1, "err": false}
[251/769] i=250 rc=0 0.7s {"i": 250, "pair": "cyrus-sasl2__2.1.27+dfsg2__2.1.28+dfsg", "libs": 1, "err": false}
[252/769] i=251 rc=0 0.7s {"i": 251, "pair": "cyrus-sasl2__2.1.28+dfsg__2.1.28+dfsg1", "libs": 1, "err": false}
[253/769] i=252 rc=0 1.7s {"i": 252, "pair": "libxml2__2.14.1+dfsg__2.14.2+dfsg", "libs": 1, "err": false}
[254/769] i=253 rc=0 1.7s {"i": 253, "pair": "libxml2__2.14.2+dfsg__2.14.3+dfsg", "libs": 1, "err": false}
[255/769] i=254 rc=0 1.7s {"i": 254, "pair": "libxml2__2.14.3+dfsg__2.14.4+dfsg", "libs": 1, "err": false}
[256/769] i=256 rc=0 1.7s {"i": 256, "pair": "libxml2__2.14.5+dfsg__2.14.6+dfsg", "libs": 1, "err": false}
[257/769] i=255 rc=0 1.7s {"i": 255, "pair": "libxml2__2.14.4+dfsg__2.14.5+dfsg", "libs": 1, "err": false}
[258/769] i=261 rc=0 0.6s {"i": 261, "pair": "apparmor__3.0.12__3.0.13", "libs": 1, "err": false}
[259/769] i=262 rc=0 0.6s {"i": 262, "pair": "apparmor__3.0.13__3.1.7", "libs": 1, "err": false}
[260/769] i=257 rc=0 2.6s {"i": 257, "pair": "libxml2__2.14.6+dfsg__2.15.0+dfsg", "libs": 1, "err": false}
[261/769] i=258 rc=0 1.6s {"i": 258, "pair": "libxml2__2.15.0+dfsg__2.15.1+dfsg", "libs": 1, "err": false}
[262/769] i=263 rc=0 0.6s {"i": 263, "pair": "apparmor__3.1.7__4.1.0", "libs": 1, "err": false}
[263/769] i=264 rc=0 0.6s {"i": 264, "pair": "apparmor__4.1.0__4.1.3", "libs": 1, "err": false}
[264/769] i=260 rc=0 1.6s {"i": 260, "pair": "libxml2__2.15.2+dfsg__2.15.3+dfsg", "libs": 1, "err": false}
[265/769] i=259 rc=0 1.7s {"i": 259, "pair": "libxml2__2.15.1+dfsg__2.15.2+dfsg", "libs": 1, "err": false}
[266/769] i=265 rc=0 0.6s {"i": 265, "pair": "apparmor__4.1.3__4.1.6", "libs": 1, "err": false}
[267/769] i=266 rc=0 0.6s {"i": 266, "pair": "apparmor__4.1.6__4.1.7", "libs": 1, "err": false}
[268/769] i=267 rc=0 0.6s {"i": 267, "pair": "apparmor__4.1.7__4.1.8", "libs": 1, "err": false}
[269/769] i=268 rc=0 0.7s {"i": 268, "pair": "apparmor__4.1.8__5.0.1", "libs": 1, "err": false}
[270/769] i=270 rc=0 0.6s {"i": 270, "pair": "libseccomp__2.4.3__2.4.4", "libs": 0, "err": true}
[271/769] i=269 rc=0 0.6s {"i": 269, "pair": "apparmor__5.0.1__5.0.2", "libs": 1, "err": false}
[272/769] i=271 rc=0 0.6s {"i": 271, "pair": "libseccomp__2.4.4__2.5.0", "libs": 1, "err": false}
[273/769] i=272 rc=0 0.6s {"i": 272, "pair": "libseccomp__2.5.0__2.5.1", "libs": 1, "err": false}
[274/769] i=273 rc=0 0.6s {"i": 273, "pair": "libseccomp__2.5.1__2.5.2", "libs": 1, "err": false}
[275/769] i=274 rc=0 0.6s {"i": 274, "pair": "libseccomp__2.5.2__2.5.3", "libs": 1, "err": false}
[276/769] i=277 rc=0 0.5s {"i": 277, "pair": "libseccomp__2.5.5__2.6.0", "libs": 0, "err": true}
[277/769] i=275 rc=0 0.6s {"i": 275, "pair": "libseccomp__2.5.3__2.5.4", "libs": 1, "err": false}
[278/769] i=276 rc=0 0.6s {"i": 276, "pair": "libseccomp__2.5.4__2.5.5", "libs": 1, "err": false}
[279/769] i=278 rc=0 0.5s {"i": 278, "pair": "libseccomp__2.6.0__2.6.1", "libs": 0, "err": true}
[280/769] i=279 rc=0 0.6s {"i": 279, "pair": "lz4__1.8.0__1.8.1.2", "libs": 1, "err": false}
[281/769] i=280 rc=0 0.7s {"i": 280, "pair": "lz4__1.8.1.2__1.8.2", "libs": 1, "err": false}
[282/769] i=281 rc=0 0.6s {"i": 281, "pair": "lz4__1.8.2__1.8.3", "libs": 1, "err": false}
[283/769] i=283 rc=0 0.6s {"i": 283, "pair": "lz4__1.9.1__1.9.2", "libs": 1, "err": false}
[284/769] i=282 rc=0 0.7s {"i": 282, "pair": "lz4__1.8.3__1.9.1", "libs": 1, "err": false}
[285/769] i=284 rc=0 0.7s {"i": 284, "pair": "lz4__1.9.2__1.9.3", "libs": 1, "err": false}
[286/769] i=285 rc=0 0.7s {"i": 285, "pair": "lz4__1.9.3__1.9.4", "libs": 1, "err": false}
[287/769] i=287 rc=0 0.5s {"i": 287, "pair": "libidn2__2.0.4__2.0.5", "libs": 1, "err": false}
[288/769] i=286 rc=0 0.7s {"i": 286, "pair": "lz4__1.9.4__1.10.0", "libs": 1, "err": false}
[289/769] i=288 rc=0 0.6s {"i": 288, "pair": "libidn2__2.0.5__2.2.0", "libs": 1, "err": false}
[290/769] i=289 rc=0 0.6s {"i": 289, "pair": "libidn2__2.2.0__2.3.0", "libs": 1, "err": false}
[291/769] i=290 rc=0 0.6s {"i": 290, "pair": "libidn2__2.3.0__2.3.1", "libs": 1, "err": false}
[292/769] i=291 rc=0 0.5s {"i": 291, "pair": "libidn2__2.3.1__2.3.2", "libs": 1, "err": false}
[293/769] i=292 rc=0 0.5s {"i": 292, "pair": "libidn2__2.3.2__2.3.3", "libs": 0, "err": true}
[294/769] i=293 rc=0 0.5s {"i": 293, "pair": "libidn2__2.3.3__2.3.4", "libs": 0, "err": true}
[295/769] i=294 rc=0 0.5s {"i": 294, "pair": "libidn2__2.3.4__2.3.7", "libs": 1, "err": false}
[296/769] i=295 rc=0 0.5s {"i": 295, "pair": "libidn2__2.3.7__2.3.8", "libs": 1, "err": false}
[297/769] i=296 rc=0 0.6s {"i": 296, "pair": "iptables__1.8.4__1.8.5", "libs": 1, "err": false}
[298/769] i=297 rc=0 0.7s {"i": 297, "pair": "iptables__1.8.5__1.8.6", "libs": 1, "err": false}
[299/769] i=298 rc=0 0.6s {"i": 298, "pair": "iptables__1.8.6__1.8.7", "libs": 1, "err": false}
[300/769] i=300 rc=0 0.6s {"i": 300, "pair": "iptables__1.8.8__1.8.9", "libs": 1, "err": false}
[301/769] i=299 rc=0 0.7s {"i": 299, "pair": "iptables__1.8.7__1.8.8", "libs": 1, "err": false}
[302/769] i=301 rc=0 0.6s {"i": 301, "pair": "iptables__1.8.9__1.8.10", "libs": 1, "err": false}
[303/769] i=302 rc=0 0.7s {"i": 302, "pair": "iptables__1.8.10__1.8.11", "libs": 1, "err": false}
[304/769] i=303 rc=0 0.6s {"i": 303, "pair": "iptables__1.8.11__1.8.12", "libs": 1, "err": false}
[305/769] i=304 rc=0 0.6s {"i": 304, "pair": "iptables__1.8.12__1.8.13", "libs": 1, "err": false}
[306/769] i=307 rc=0 0.7s {"i": 307, "pair": "nghttp2__1.61.0__1.62.1", "libs": 1, "err": false}
[307/769] i=305 rc=0 1.1s {"i": 305, "pair": "nghttp2__1.59.0__1.60.0", "libs": 1, "err": false}
[308/769] i=308 rc=0 0.8s {"i": 308, "pair": "nghttp2__1.62.1__1.63.0", "libs": 1, "err": false}
[309/769] i=306 rc=0 1.2s {"i": 306, "pair": "nghttp2__1.60.0__1.61.0", "libs": 1, "err": false}
[310/769] i=311 rc=0 0.8s {"i": 311, "pair": "nghttp2__1.68.0__1.68.1", "libs": 1, "err": false}
[311/769] i=309 rc=0 1.1s {"i": 309, "pair": "nghttp2__1.63.0__1.64.0", "libs": 1, "err": false}
[312/769] i=310 rc=0 1.2s {"i": 310, "pair": "nghttp2__1.64.0__1.68.0", "libs": 1, "err": false}
[313/769] i=314 rc=0 0.7s {"i": 314, "pair": "rtmpdump__2.4+20151223.gitfa8646d__2.4+20151223.gitfa8646d.1", "libs": 1, "err": false}
[314/769] i=313 rc=0 0.9s {"i": 313, "pair": "nghttp2__1.69.0__1.70.0", "libs": 1, "err": false}
[315/769] i=315 rc=0 0.6s {"i": 315, "pair": "rtmpdump__2.4+20151223.gitfa8646d.1__2.6", "libs": 1, "err": false}
[316/769] i=312 rc=0 1.2s {"i": 312, "pair": "nghttp2__1.68.1__1.69.0", "libs": 1, "err": false}
[317/769] i=316 rc=0 1.1s {"i": 316, "pair": "pcre2__10.36__10.39", "libs": 3, "err": false}
[318/769] i=317 rc=0 1.1s {"i": 317, "pair": "pcre2__10.39__10.40", "libs": 3, "err": false}
[319/769] i=318 rc=0 1.2s {"i": 318, "pair": "pcre2__10.40__10.42", "libs": 3, "err": false}
[320/769] i=319 rc=0 1.2s {"i": 319, "pair": "pcre2__10.42__10.43", "libs": 3, "err": false}
[321/769] i=320 rc=0 1.1s {"i": 320, "pair": "pcre2__10.43__10.44", "libs": 3, "err": false}
[322/769] i=321 rc=0 1.2s {"i": 321, "pair": "pcre2__10.44__10.45", "libs": 3, "err": false}
[323/769] i=322 rc=0 1.2s {"i": 322, "pair": "pcre2__10.45__10.46", "libs": 3, "err": false}
[324/769] i=325 rc=0 0.7s {"i": 325, "pair": "libgpg-error__1.49__1.50", "libs": 1, "err": false}
[325/769] i=326 rc=0 0.7s {"i": 326, "pair": "libgpg-error__1.50__1.51", "libs": 1, "err": false}
[326/769] i=323 rc=0 1.3s {"i": 323, "pair": "pcre2__10.46__10.47", "libs": 3, "err": false}
[327/769] i=327 rc=0 0.8s {"i": 327, "pair": "libgpg-error__1.51__1.53", "libs": 1, "err": false}
[328/769] i=324 rc=0 1.2s {"i": 324, "pair": "pcre2__10.47__10.48", "libs": 3, "err": false}
[329/769] i=328 rc=0 0.7s {"i": 328, "pair": "libgpg-error__1.53__1.54", "libs": 1, "err": false}
[330/769] i=329 rc=0 0.7s {"i": 329, "pair": "libgpg-error__1.54__1.55", "libs": 1, "err": false}
[331/769] i=330 rc=0 0.8s {"i": 330, "pair": "libgpg-error__1.55__1.56", "libs": 1, "err": false}
[332/769] i=331 rc=0 0.7s {"i": 331, "pair": "libgpg-error__1.56__1.58", "libs": 1, "err": false}
[333/769] i=332 rc=0 0.8s {"i": 332, "pair": "libgpg-error__1.58__1.59", "libs": 1, "err": false}
[334/769] i=333 rc=0 0.8s {"i": 333, "pair": "libgpg-error__1.59__1.61", "libs": 1, "err": false}
[335/769] i=336 rc=0 1.1s {"i": 336, "pair": "libzstd__1.4.9+dfsg__1.4.10+dfsg", "libs": 1, "err": false}
[336/769] i=335 rc=0 1.3s {"i": 335, "pair": "libzstd__1.4.8+dfsg__1.4.9+dfsg", "libs": 1, "err": false}
[337/769] i=334 rc=0 1.4s {"i": 334, "pair": "libzstd__1.4.5+dfsg__1.4.8+dfsg", "libs": 1, "err": false}
[338/769] i=337 rc=0 1.3s {"i": 337, "pair": "libzstd__1.4.10+dfsg__1.5.2+dfsg", "libs": 1, "err": false}
[339/769] i=338 rc=0 1.2s {"i": 338, "pair": "libzstd__1.5.2+dfsg__1.5.2+dfsg2", "libs": 1, "err": false}
[340/769] i=339 rc=0 1.2s {"i": 339, "pair": "libzstd__1.5.2+dfsg2__1.5.4+dfsg2", "libs": 1, "err": false}
[341/769] i=343 rc=0 0.7s {"i": 343, "pair": "ncurses__6.4+20240113__6.4+20240414", "libs": 2, "err": false}
[342/769] i=344 rc=0 0.8s {"i": 344, "pair": "ncurses__6.4+20240414__6.5", "libs": 2, "err": false}
[343/769] i=345 rc=0 0.7s {"i": 345, "pair": "ncurses__6.5__6.5+20250125", "libs": 2, "err": false}
[344/769] i=340 rc=0 1.3s {"i": 340, "pair": "libzstd__1.5.4+dfsg2__1.5.5+dfsg2", "libs": 1, "err": false}
[345/769] i=341 rc=0 1.3s {"i": 341, "pair": "libzstd__1.5.5+dfsg2__1.5.6+dfsg", "libs": 1, "err": false}
[346/769] i=342 rc=0 1.5s {"i": 342, "pair": "libzstd__1.5.6+dfsg__1.5.7+dfsg", "libs": 1, "err": false}
[347/769] i=346 rc=0 0.9s {"i": 346, "pair": "ncurses__6.5+20250125__6.5+20250216", "libs": 2, "err": false}
[348/769] i=348 rc=0 0.7s {"i": 348, "pair": "ncurses__6.5+20251115__6.5+20251122", "libs": 2, "err": false}
[349/769] i=347 rc=0 0.8s {"i": 347, "pair": "ncurses__6.5+20250216__6.5+20251115", "libs": 2, "err": false}
[350/769] i=349 rc=0 0.8s {"i": 349, "pair": "ncurses__6.5+20251122__6.5+20251123", "libs": 2, "err": false}
[351/769] i=350 rc=0 0.9s {"i": 350, "pair": "ncurses__6.5+20251123__6.6+20251231", "libs": 2, "err": false}
[352/769] i=352 rc=0 0.6s {"i": 352, "pair": "libpipeline__1.4.2__1.5.0", "libs": 1, "err": false}
[353/769] i=351 rc=0 0.9s {"i": 351, "pair": "ncurses__6.6+20251231__6.6+20260608", "libs": 2, "err": false}
[354/769] i=354 rc=0 0.6s {"i": 354, "pair": "libpipeline__1.5.1__1.5.2", "libs": 1, "err": false}
[355/769] i=353 rc=0 0.7s {"i": 353, "pair": "libpipeline__1.5.0__1.5.1", "libs": 1, "err": false}
[356/769] i=355 rc=0 0.6s {"i": 355, "pair": "libpipeline__1.5.2__1.5.3", "libs": 1, "err": false}
[357/769] i=356 rc=0 0.6s {"i": 356, "pair": "libpipeline__1.5.3__1.5.4", "libs": 1, "err": false}
[358/769] i=357 rc=0 0.6s {"i": 357, "pair": "libpipeline__1.5.4__1.5.5", "libs": 1, "err": false}
[359/769] i=358 rc=0 0.6s {"i": 358, "pair": "libpipeline__1.5.5__1.5.6", "libs": 1, "err": false}
[360/769] i=359 rc=0 0.6s {"i": 359, "pair": "libpipeline__1.5.6__1.5.7", "libs": 1, "err": false}
[361/769] i=360 rc=0 0.6s {"i": 360, "pair": "libpipeline__1.5.7__1.5.8", "libs": 1, "err": false}
[362/769] i=361 rc=0 0.7s {"i": 361, "pair": "libnftnl__1.2.3__1.2.4", "libs": 1, "err": false}
[363/769] i=362 rc=0 0.7s {"i": 362, "pair": "libnftnl__1.2.4__1.2.5", "libs": 1, "err": false}
[364/769] i=363 rc=0 0.8s {"i": 363, "pair": "libnftnl__1.2.5__1.2.6", "libs": 1, "err": false}
[365/769] i=364 rc=0 0.8s {"i": 364, "pair": "libnftnl__1.2.6__1.2.7", "libs": 1, "err": false}
[366/769] i=365 rc=0 0.7s {"i": 365, "pair": "libnftnl__1.2.7__1.2.8", "libs": 1, "err": false}
[367/769] i=366 rc=0 0.8s {"i": 366, "pair": "libnftnl__1.2.8__1.2.9", "libs": 1, "err": false}
[368/769] i=367 rc=0 0.8s {"i": 367, "pair": "libnftnl__1.2.9__1.3.0", "libs": 1, "err": false}
[369/769] i=368 rc=0 0.7s {"i": 368, "pair": "libnftnl__1.3.0__1.3.1", "libs": 1, "err": false}
[370/769] i=370 rc=0 0.5s {"i": 370, "pair": "libusb-1.0__1.0.21__1.0.22", "libs": 1, "err": false}
[371/769] i=371 rc=0 0.5s {"i": 371, "pair": "libusb-1.0__1.0.22__1.0.23", "libs": 1, "err": false}
[372/769] i=372 rc=0 0.5s {"i": 372, "pair": "libusb-1.0__1.0.23__1.0.24", "libs": 1, "err": false}
[373/769] i=373 rc=0 0.5s {"i": 373, "pair": "libusb-1.0__1.0.24__1.0.25", "libs": 1, "err": false}
[374/769] i=369 rc=0 1.0s {"i": 369, "pair": "libnftnl__1.3.1__1.3.2", "libs": 1, "err": false}
[375/769] i=374 rc=0 0.5s {"i": 374, "pair": "libusb-1.0__1.0.25__1.0.26", "libs": 1, "err": false}
[376/769] i=375 rc=0 0.5s {"i": 375, "pair": "libusb-1.0__1.0.26__1.0.27", "libs": 1, "err": false}
[377/769] i=376 rc=0 0.5s {"i": 376, "pair": "libusb-1.0__1.0.27__1.0.28", "libs": 1, "err": false}
[378/769] i=377 rc=0 0.5s {"i": 377, "pair": "libusb-1.0__1.0.28__1.0.29", "libs": 1, "err": false}
[379/769] i=378 rc=0 0.6s {"i": 378, "pair": "libusb-1.0__1.0.29__1.0.30", "libs": 1, "err": false}
[380/769] i=379 rc=0 0.6s {"i": 379, "pair": "jansson__2.7__2.9", "libs": 1, "err": false}
[381/769] i=381 rc=0 0.6s {"i": 381, "pair": "jansson__2.10__2.11", "libs": 1, "err": false}
[382/769] i=380 rc=0 0.7s {"i": 380, "pair": "jansson__2.9__2.10", "libs": 1, "err": false}
[383/769] i=382 rc=0 0.6s {"i": 382, "pair": "jansson__2.11__2.12", "libs": 1, "err": false}
[384/769] i=383 rc=0 0.6s {"i": 383, "pair": "jansson__2.12__2.13.1", "libs": 1, "err": false}
[385/769] i=384 rc=0 0.6s {"i": 384, "pair": "jansson__2.13.1__2.14", "libs": 1, "err": false}
[386/769] i=385 rc=0 0.6s {"i": 385, "pair": "jansson__2.14__2.15.0", "libs": 1, "err": false}
[387/769] i=386 rc=0 0.6s {"i": 386, "pair": "jansson__2.15.0__2.15.1", "libs": 1, "err": false}
[388/769] i=387 rc=0 1.2s {"i": 387, "pair": "libgcrypt20__1.10.2__1.10.3", "libs": 1, "err": false}
[389/769] i=388 rc=0 1.3s {"i": 388, "pair": "libgcrypt20__1.10.3__1.11.0", "libs": 1, "err": false}
[390/769] i=389 rc=0 1.3s {"i": 389, "pair": "libgcrypt20__1.11.0__1.11.0+git20250114", "libs": 1, "err": false}
[391/769] i=390 rc=0 1.3s {"i": 390, "pair": "libgcrypt20__1.11.0+git20250114__1.11.1", "libs": 1, "err": false}
[392/769] i=391 rc=0 1.3s {"i": 391, "pair": "libgcrypt20__1.11.1__1.11.2", "libs": 1, "err": false}
[393/769] i=392 rc=0 1.3s {"i": 392, "pair": "libgcrypt20__1.11.2__1.12.0", "libs": 1, "err": false}
[394/769] i=396 rc=0 0.8s {"i": 396, "pair": "brotli__1.0.2__1.0.3", "libs": 3, "err": false}
[395/769] i=393 rc=0 1.2s {"i": 393, "pair": "libgcrypt20__1.12.0__1.12.1", "libs": 1, "err": false}
[396/769] i=394 rc=0 1.3s {"i": 394, "pair": "libgcrypt20__1.12.1__1.12.2", "libs": 1, "err": false}
[397/769] i=398 rc=0 0.8s {"i": 398, "pair": "brotli__1.0.4__1.0.5", "libs": 3, "err": false}
[398/769] i=397 rc=0 0.9s {"i": 397, "pair": "brotli__1.0.3__1.0.4", "libs": 3, "err": false}
[399/769] i=395 rc=0 1.4s {"i": 395, "pair": "libgcrypt20__1.12.2__1.12.3", "libs": 1, "err": false}
[400/769] i=404 rc=0 0.5s {"i": 404, "pair": "protobuf-c__1.3.1__1.3.2", "libs": 1, "err": false}
[401/769] i=400 rc=0 0.8s {"i": 400, "pair": "brotli__1.0.6__1.0.7", "libs": 3, "err": false}
[402/769] i=399 rc=0 1.0s {"i": 399, "pair": "brotli__1.0.5__1.0.6", "libs": 3, "err": false}
[403/769] i=403 rc=0 0.8s {"i": 403, "pair": "brotli__1.1.0__1.2.0", "libs": 3, "err": false}
[404/769] i=401 rc=0 0.8s {"i": 401, "pair": "brotli__1.0.7__1.0.9", "libs": 3, "err": false}
[405/769] i=402 rc=0 0.9s {"i": 402, "pair": "brotli__1.0.9__1.1.0", "libs": 3, "err": false}
[406/769] i=405 rc=0 0.5s {"i": 405, "pair": "protobuf-c__1.3.2__1.3.3", "libs": 1, "err": false}
[407/769] i=406 rc=0 0.6s {"i": 406, "pair": "protobuf-c__1.3.3__1.4.1", "libs": 1, "err": false}
[408/769] i=407 rc=0 0.6s {"i": 407, "pair": "protobuf-c__1.4.1__1.5.1", "libs": 1, "err": false}
[409/769] i=408 rc=0 0.6s {"i": 408, "pair": "lmdb__0.9.18__0.9.19", "libs": 1, "err": false}
[410/769] i=409 rc=0 0.6s {"i": 409, "pair": "lmdb__0.9.19__0.9.21", "libs": 1, "err": false}
[411/769] i=410 rc=0 0.7s {"i": 410, "pair": "lmdb__0.9.21__0.9.22", "libs": 1, "err": false}
[412/769] i=411 rc=0 0.6s {"i": 411, "pair": "lmdb__0.9.22__0.9.24", "libs": 1, "err": false}
[413/769] i=412 rc=0 0.6s {"i": 412, "pair": "lmdb__0.9.24__0.9.31", "libs": 1, "err": false}
[414/769] i=413 rc=0 0.6s {"i": 413, "pair": "lmdb__0.9.31__0.9.35", "libs": 1, "err": false}
[415/769] i=415 rc=0 0.5s {"i": 415, "pair": "xxhash__0.7.0__0.7.1", "libs": 1, "err": false}
[416/769] i=414 rc=0 0.6s {"i": 414, "pair": "xxhash__0.6.5__0.7.0", "libs": 1, "err": false}
[417/769] i=416 rc=0 0.6s {"i": 416, "pair": "xxhash__0.7.1__0.7.2", "libs": 1, "err": false}
[418/769] i=417 rc=0 0.5s {"i": 417, "pair": "xxhash__0.7.2__0.7.3", "libs": 1, "err": false}
[419/769] i=418 rc=0 0.5s {"i": 418, "pair": "xxhash__0.7.3__0.7.4", "libs": 1, "err": false}
[420/769] i=419 rc=0 0.6s {"i": 419, "pair": "xxhash__0.7.4__0.8.0", "libs": 1, "err": false}
[421/769] i=420 rc=0 0.6s {"i": 420, "pair": "xxhash__0.8.0__0.8.1", "libs": 1, "err": false}
[422/769] i=421 rc=0 0.6s {"i": 421, "pair": "xxhash__0.8.1__0.8.2", "libs": 1, "err": false}
[423/769] i=422 rc=0 0.6s {"i": 422, "pair": "xxhash__0.8.2__0.8.3", "libs": 1, "err": false}
[424/769] i=423 rc=0 0.5s {"i": 423, "pair": "libxcrypt__4.4.26__4.4.27", "libs": 1, "err": false}
[425/769] i=424 rc=0 0.5s {"i": 424, "pair": "libxcrypt__4.4.27__4.4.28", "libs": 1, "err": false}
[426/769] i=425 rc=0 0.5s {"i": 425, "pair": "libxcrypt__4.4.28__4.4.30", "libs": 1, "err": false}
[427/769] i=426 rc=0 0.5s {"i": 426, "pair": "libxcrypt__4.4.30__4.4.33", "libs": 1, "err": false}
[428/769] i=427 rc=0 0.6s {"i": 427, "pair": "libxcrypt__4.4.33__4.4.35", "libs": 1, "err": false}
[429/769] i=429 rc=0 0.5s {"i": 429, "pair": "libxcrypt__4.4.36__4.4.38", "libs": 1, "err": false}
[430/769] i=428 rc=0 0.5s {"i": 428, "pair": "libxcrypt__4.4.35__4.4.36", "libs": 1, "err": false}
[431/769] i=430 rc=0 0.6s {"i": 430, "pair": "libxcrypt__4.4.38__4.5.1", "libs": 1, "err": false}
[432/769] i=431 rc=0 0.5s {"i": 431, "pair": "libxcrypt__4.5.1__4.5.2+20251210", "libs": 1, "err": false}
[433/769] i=432 rc=0 0.6s {"i": 432, "pair": "uchardet__0.0.1__0.0.6", "libs": 1, "err": false}
[434/769] i=433 rc=0 0.7s {"i": 433, "pair": "uchardet__0.0.6__0.0.7", "libs": 1, "err": false}
[435/769] i=435 rc=0 0.6s {"i": 435, "pair": "libmd__0.0.0__1.0.0", "libs": 1, "err": false}
[436/769] i=434 rc=0 0.7s {"i": 434, "pair": "uchardet__0.0.7__0.0.8", "libs": 1, "err": false}
[437/769] i=437 rc=0 0.6s {"i": 437, "pair": "libmd__1.0.1__1.0.3", "libs": 1, "err": false}
[438/769] i=436 rc=0 0.6s {"i": 436, "pair": "libmd__1.0.0__1.0.1", "libs": 1, "err": false}
[439/769] i=438 rc=0 0.6s {"i": 438, "pair": "libmd__1.0.3__1.0.4", "libs": 1, "err": false}
[440/769] i=439 rc=0 0.5s {"i": 439, "pair": "libmd__1.0.4__1.1.0", "libs": 1, "err": false}
[441/769] i=440 rc=0 0.6s {"i": 440, "pair": "libmd__1.1.0__1.2.0", "libs": 1, "err": false}
[442/769] i=441 rc=0 0.5s {"i": 441, "pair": "libfido2__1.8.0__1.9.0", "libs": 0, "err": true}
[443/769] i=442 rc=0 0.7s {"i": 442, "pair": "libfido2__1.9.0__1.10.0", "libs": 1, "err": false}
[444/769] i=443 rc=0 0.7s {"i": 443, "pair": "libfido2__1.10.0__1.11.0", "libs": 1, "err": false}
[445/769] i=444 rc=0 0.7s {"i": 444, "pair": "libfido2__1.11.0__1.12.0", "libs": 1, "err": false}
[446/769] i=445 rc=0 0.7s {"i": 445, "pair": "libfido2__1.12.0__1.13.0", "libs": 1, "err": false}
[447/769] i=446 rc=0 0.8s {"i": 446, "pair": "libfido2__1.13.0__1.14.0", "libs": 1, "err": false}
[448/769] i=447 rc=0 0.8s {"i": 447, "pair": "libfido2__1.14.0__1.15.0", "libs": 1, "err": false}
[449/769] i=448 rc=0 0.8s {"i": 448, "pair": "libfido2__1.15.0__1.16.0", "libs": 1, "err": false}
[450/769] i=450 rc=0 0.6s {"i": 450, "pair": "fstrm__0.4.0__0.6.0", "libs": 1, "err": false}
[451/769] i=451 rc=0 0.6s {"i": 451, "pair": "fstrm__0.6.0__0.6.1", "libs": 1, "err": false}
[452/769] i=449 rc=0 1.0s {"i": 449, "pair": "libfido2__1.16.0__1.17.0", "libs": 1, "err": false}
[453/769] i=453 rc=0 0.6s {"i": 453, "pair": "json-c__0.12.1__0.12.1+ds", "libs": 1, "err": false}
[454/769] i=452 rc=0 0.6s {"i": 452, "pair": "json-c__0.12__0.12.1", "libs": 1, "err": false}
[455/769] i=454 rc=0 0.6s {"i": 454, "pair": "json-c__0.12.1+ds__0.13.1+dfsg", "libs": 1, "err": false}
[456/769] i=455 rc=0 0.7s {"i": 455, "pair": "json-c__0.13.1+dfsg__0.14+dfsg", "libs": 1, "err": false}
[457/769] i=456 rc=0 0.6s {"i": 456, "pair": "json-c__0.14+dfsg__0.15", "libs": 1, "err": false}
[458/769] i=457 rc=0 0.6s {"i": 457, "pair": "json-c__0.15__0.16", "libs": 1, "err": false}
[459/769] i=459 rc=0 0.6s {"i": 459, "pair": "json-c__0.17__0.18+ds", "libs": 1, "err": false}
[460/769] i=458 rc=0 0.7s {"i": 458, "pair": "json-c__0.16__0.17", "libs": 1, "err": false}
