811 pairs total, 811 to do, 6 workers
[196/811] i=195 rc=0 1.8s {"i": 195, "pair": "libx11__1.7.5__1.8.1", "libs": 1, "err": false}
[197/811] i=197 rc=0 2.7s {"i": 197, "pair": "libx11__1.8.3__1.8.4", "libs": 1, "err": false}
[198/811] i=198 rc=0 1.8s {"i": 198, "pair": "libx11__1.8.4__1.8.6", "libs": 1, "err": false}
[199/811] i=199 rc=0 1.7s {"i": 199, "pair": "libx11__1.8.6__1.8.7", "libs": 1, "err": false}
[200/811] i=200 rc=0 2.1s {"i": 200, "pair": "libx11__1.8.7__1.8.10", "libs": 1, "err": false}
[201/811] i=203 rc=0 1.0s {"i": 203, "pair": "libcap-ng__0.7.7__0.7.9", "libs": 1, "err": false}
[202/811] i=201 rc=0 2.6s {"i": 201, "pair": "libx11__1.8.10__1.8.12", "libs": 1, "err": false}
[203/811] i=193 rc=0 5.6s {"i": 193, "pair": "libxcb__1.15__1.17.0", "libs": 1, "err": false}
[204/811] i=204 rc=0 1.5s {"i": 204, "pair": "libcap-ng__0.7.9__0.8.3", "libs": 1, "err": false}
[205/811] i=205 rc=0 1.5s {"i": 205, "pair": "libcap-ng__0.8.3__0.8.4", "libs": 2, "err": false}
[206/811] i=207 rc=0 1.1s {"i": 207, "pair": "libcap-ng__0.8.5__0.9.1", "libs": 2, "err": false}
[207/811] i=206 rc=0 1.2s {"i": 206, "pair": "libcap-ng__0.8.4__0.8.5", "libs": 2, "err": false}
[208/811] i=202 rc=0 2.9s {"i": 202, "pair": "libx11__1.8.12__1.8.13", "libs": 1, "err": false}
[209/811] i=208 rc=0 1.4s {"i": 208, "pair": "libcap-ng__0.9.1__0.9.2", "libs": 2, "err": false}
[210/811] i=209 rc=0 1.4s {"i": 209, "pair": "libcap-ng__0.9.2__0.9.3", "libs": 2, "err": false}
[211/811] i=211 rc=0 1.1s {"i": 211, "pair": "audit__3.0.6__3.0.7", "libs": 1, "err": false}
[212/811] i=212 rc=0 1.1s {"i": 212, "pair": "audit__3.0.7__3.0.9", "libs": 1, "err": false}
[213/811] i=210 rc=0 1.7s {"i": 210, "pair": "libcap-ng__0.9.3__0.9.5", "libs": 2, "err": false}
[214/811] i=213 rc=0 1.4s {"i": 213, "pair": "audit__3.0.9__3.1.1", "libs": 1, "err": false}
[215/811] i=214 rc=0 1.5s {"i": 214, "pair": "audit__3.1.1__3.1.2", "libs": 1, "err": false}
[216/811] i=215 rc=0 1.3s {"i": 215, "pair": "audit__3.1.2__4.0.1", "libs": 1, "err": false}
[217/811] i=216 rc=0 1.3s {"i": 216, "pair": "audit__4.0.1__4.0.2", "libs": 1, "err": false}
[218/811] i=217 rc=0 1.4s {"i": 217, "pair": "audit__4.0.2__4.0.5", "libs": 1, "err": false}
[219/811] i=218 rc=0 1.1s {"i": 218, "pair": "audit__4.0.5__4.1.1", "libs": 1, "err": false}
[220/811] i=219 rc=0 1.8s {"i": 219, "pair": "audit__4.1.1__4.1.2", "libs": 1, "err": false}
[221/811] i=220 rc=0 1.9s {"i": 220, "pair": "systemd__257.7__258", "libs": 1, "err": false}
[222/811] i=221 rc=0 2.0s {"i": 221, "pair": "systemd__258__258.1", "libs": 1, "err": false}
[223/811] i=222 rc=0 1.9s {"i": 222, "pair": "systemd__258.1__259", "libs": 1, "err": false}
[224/811] i=223 rc=0 1.8s {"i": 223, "pair": "systemd__259__259.1", "libs": 1, "err": false}
[225/811] i=224 rc=0 2.4s {"i": 224, "pair": "systemd__259.1__260", "libs": 1, "err": false}
[226/811] i=225 rc=0 2.2s {"i": 225, "pair": "systemd__260__260.1", "libs": 1, "err": false}
[227/811] i=226 rc=0 2.0s {"i": 226, "pair": "systemd__260.1__261", "libs": 1, "err": false}
[228/811] i=229 rc=0 1.6s {"i": 229, "pair": "cdebconf__0.275__0.276", "libs": 1, "err": false}
[229/811] i=227 rc=0 2.1s {"i": 227, "pair": "systemd__261__261.1", "libs": 1, "err": false}
[230/811] i=230 rc=0 1.5s {"i": 230, "pair": "cdebconf__0.276__0.277", "libs": 1, "err": false}
[231/811] i=234 rc=0 0.5s {"i": 234, "pair": "cdebconf__0.279+hurd.1__0.280", "libs": 0, "err": true}
[232/811] i=231 rc=0 1.2s {"i": 231, "pair": "cdebconf__0.277__0.278", "libs": 1, "err": false}
